cell	value
A1	program
B1	sim_name
C1	num_samples
D1	v_measure
E1	num_mutations_pred
F1	num_mutations_true
G1	ancestor_descendant_f_score
H1	Success
I1	memory
J1	time
A2	PhyClone
F66	718
G66	0.5396030801635824
H66	1
I66	1081.43
J66	121.6486
A67	PhyClone
B67	LTXSIM063
C67	4
D67	0.8549495575598431
E67	2015
F67	2015
G67	0.8266996789670289
H67	1
I67	1193.42
J67	1131.8909
A68	CONIPHER
B68	LTXSIM063
C68	4
D68	0.910227232482677
E68	1897
F68	2015
G68	0.8506109993701459
H68	1
I68	227.97
J68	78.506
A69	fastBE
B69	LTXSIM063
C69	4
D69	0.8549495575598431
E69	2015
F69	2015
G69	0.8509672395053771
H69	1
I69	41.52
J69	2.0664
A70	Orchard
B70	LTXSIM063
C70	4
D70	0.8549216269913226
E70	2012
F70	2015
G70	0.8135437763974782
H70	1
I70	342.47
J70	5.9546
A71	Pairtree
B71	LTXSIM063
C71	4
D71	0.8549216269913226
E71	2012
F71	2015
G71	0.8135437763974782
H71	1
I71	1092.59
J71	114.8834
A72	PhyClone
B72	LTXSIM039
C72	2
D72	0.5388696031350072
E72	211
F72	211
G72	0.6011141207134461
H72	1
I72	1075.24
J72	667.3587
A73	CONIPHER
B73	LTXSIM039
C73	2
D73	0.5497135180759208
E73	204
F73	211
G73	0.6398503274087932
H73	1
I73	187.01
J73	14.9149
A74	fastBE
B74	LTXSIM039
C74	2
D74	0.5441655955944124
E74	211
F74	211
G74	0.6156757295090131
H74	1
I74	33.73
J74	1.976
A75	Orchard
B75	LTXSIM039
C75	2
D75	0.5441655955944124
E75	211
F75	211
G75	0.6153072766117884
H75	1
I75	68.20999999999999
J75	9.096299999999999
A76	Pairtree
B76	LTXSIM039
C76	2
D76	0.5441655955944124
E76	211
F76	211
G76	0.6153072766117884
H76	1
I76	1087.53
J76	116.0264
A77	PhyClone
B77	LTXSIM001
C77	3
D77	0.659869166098822
E77	1070
F77	1070
G77	0.6821939966842308
H77	1
I77	1151.95
J77	511.2616
A78	CONIPHER
B78	LTXSIM001
C78	3
D78	0.7130597798508228
E78	1029
F78	1070
G78	0.7432043679915459
H78	1
I78	158.67
J78	44.7237
A79	fastBE
B79	LTXSIM001
C79	3
D79	0.6556806793320062
E79	1070
F79	1070
G79	0.6870746330696398
H79	1
I79	28.46
J79	2.0375
A80	Orchard
B80	LTXSIM001
C80	3
D80	0.6556806793320062
E80	1070
F80	1070
G80	0.6770394442660016
H80	1
I80	334.32
J80	13.0547
A81	Pairtree
B81	LTXSIM001
C81	3
D81	0.6556806793320062
E81	1070
F81	1070
G81	0.6214973528986745
H81	1
I81	1142.36
J81	113.5485
A82	PhyClone
B82	LTXSIM057
C82	4
D82	0.7755238718025423
E82	734
F82	734
G82	0.7634191139903588
H82	1
I82	1240.07
J82	695.9733
A83	CONIPHER
B83	LTXSIM057
C83	4
D83	0.8459259990161869
E83	624
F83	734
G83	0.8066824824066506
H83	1
I83	178.56
J83	47.5126
A84	fastBE
B84	LTXSIM057
C84	4
D84	0.7755238718025423
E84	734
F84	734
G84	0.7794895903729314
H84	1
I84	32.96
J84	1.935
A85	Orchard
B85	LTXSIM057
C85	4
D85	0.7755238718025423
E85	734
F85	734
G85	0.3060670147053749
H85	1
I85	332.32
J85	6.5846
A86	Pairtree
B86	LTXSIM057
C86	4
D86	0.7755238718025423
E86	734
F86	734
G86	0.5366663135967236
H86	1
I86	1122.07
J86	113.3306
A87	PhyClone
B87	LTXSIM012
C87	2
D87	0.6680675670497477
E87	1541
F87	1541
G87	0.8129043473003205
H87	1
I87	1086
J87	683.8498
A88	CONIPHER
B88	LTXSIM012
C88	2
D88	0.7022058008673793
E88	1495
F88	1541
G88	0.8206859050456925
H88	1
I88	158.55
J88	44.8782
A89	fastBE
B89	LTXSIM012
C89	2
D89	0.6639881323450995
E89	1541
F89	1541
G89	0.8047969205888333
H89	1
I89	43.84
J89	1.5944
A90	Orchard
B90	LTXSIM012
C90	2
D90	0.6639881323450995
E90	1541
F90	1541
G90	0.0467612142144628
H90	1
I90	70.79000000000001
J90	9.670999999999999
A91	Pairtree
B91	LTXSIM012
C91	2
D91	0.6639881323450995
E91	1541
F91	1541
G91	0.5594496681376345
H91	1
I91	1130.32
J91	106.929
A92	PhyClone
B92	LTXSIM125
C92	8
D92	0.8691945390113974
E92	1721
F92	1721
G92	0.8175917572469404
H92	1
I92	1264.09
J92	1166.2841
A93	CONIPHER
B93	LTXSIM125
C93	8
D93	0.8690902746490993
E93	1430
F93	1721
G93	0.7954111068703704
H93	1
I93	201.74
J93	127.5175
A94	fastBE
B94	LTXSIM125
C94	8
D94	0.8691945390113972
E94	1721
F94	1721
G94	0.7963076571695668
H94	1
I94	35.01
J94	3.3111
A95	Orchard
B95	LTXSIM125
C95	8
D95	0.8691945390113972
E95	1721
F95	1721
G95	0.8651418249414941
H95	1
I95	340.45
J95	10.7171
A96	Pairtree
B96	LTXSIM125
C96	8
D96	0.8691945390113972
E96	1721
F96	1721
G96	0.3067005091091143
H96	1
I96	1109.59
J96	129.7716
A97	PhyClone
B97	LTXSIM045
C97	2
D97	0.5429337866781295
E97	821
F97	821
G97	0.5897370418193786
H97	1
I97	1143.22
J97	476.993
A98	CONIPHER
B98	LTXSIM045
C98	2
D98	0.5681880061027546
E98	754
F98	821
G98	0.5433136079439392
H98	1
I98	159.69
J98	35.025
A99	fastBE
B99	LTXSIM045
C99	2
D99	0.5429337866781293
E99	821
F99	821
G99	0.5952472309620648
H99	1
I99	33.99
J99	1.4623
A100	Orchard
B100	LTXSIM045
C100	2
D100	0.5429337866781293
E100	821
F100	821
G100	0.488180323808237
H100	1
I100	69.59
J100	8.254
A101	Pairtree
B101	LTXSIM045
C101	2
D101	0.5429337866781293
E101	821
F101	821
G101	0.4062382545067012
H101	1
I101	1107.69
J101	109.4008
A102	PhyClone
B102	LTXSIM106
C102	11
D102	0.7815629650788445
E102	948
F102	1110
G102	0.6960674272715898
H102	1
I102	1309.06
J102	1109.9807
A103	CONIPHER
