cell	value
A1	program
B1	sim_name
C1	num_samples
D1	v_measure
E1	num_mutations_pred
F1	num_mutations_true
G1	ancestor_descendant_f_score
H1	Success
I1	memory
J1	time
A2	PhyClone
C64	4
D64	0.8891053653640921
E64	1155
F64	1155
G64	0.9415086964417072
H64	1
I64	33.98
J64	1.9073
A65	Orchard
B65	LTXSIM074
C65	4
D65	0.8891053653640921
E65	1155
F65	1155
G65	0.8847016100053741
H65	1
I65	68.81
J65	4.0168
A66	Pairtree
B66	LTXSIM074
C66	4
D66	0.8891053653640921
E66	1155
F66	1155
G66	0.8985652233668189
H66	1
I66	1128.44
J66	108.7069
A67	PhyClone
B67	LTXSIM063
C67	5
D67	0.7592072933822892
E67	230
F67	230
G67	0.9190064397424104
H67	1
I67	1044.96
J67	319.0811
A68	CONIPHER
B68	LTXSIM063
C68	5
D68	0.7592072933822892
E68	230
F68	230
G68	0.9146284186567434
H68	1
I68	161.62
J68	22.9676
A69	fastBE
B69	LTXSIM063
C69	5
D69	0.7592072933822892
E69	230
F69	230
G69	0.8826570461561349
H69	1
I69	31.14
J69	1.2973
A70	Orchard
B70	LTXSIM063
C70	5
D70	0.7592072933822892
E70	230
F70	230
G70	0.1870024069616737
H70	1
I70	87.08
J70	10.0598
A71	Pairtree
B71	LTXSIM063
C71	5
D71	0.7592072933822892
E71	230
F71	230
G71	0.6605261957959053
H71	1
I71	1109.06
J71	108.1531
A72	PhyClone
B72	LTXSIM039
C72	2
D72	0.6483049758510678
E72	410
F72	410
G72	0.8505479494582596
H72	1
I72	1024.14
J72	148.3223
A73	CONIPHER
B73	LTXSIM039
C73	2
D73	0.6483049758510677
E73	410
F73	410
G73	0.7089429074939159
H73	1
I73	146.33
J73	21.6365
A74	fastBE
B74	LTXSIM039
C74	2
D74	0.6483049758510677
E74	410
F74	410
G74	0.833668543845535
H74	1
I74	29.75
J74	1.2102
A75	Orchard
B75	LTXSIM039
C75	2
D75	0.6483049758510677
E75	410
F75	410
G75	0.238165937180649
H75	1
I75	65.12
J75	5.0555
A76	Pairtree
B76	LTXSIM039
C76	2
D76	0.6483049758510677
E76	410
F76	410
G76	0.0206729615980112
H76	1
I76	1104.16
J76	96.9555
A77	PhyClone
B77	LTXSIM001
C77	3
D77	0.8863561007371668
E77	972
F77	972
G77	0.9436054996543514
H77	1
I77	1145.42
J77	554.4118
A78	CONIPHER
B78	LTXSIM001
C78	3
D78	0.8863561007371668
E78	972
F78	972
G78	0.9500676973936028
H78	1
I78	158.77
J78	37.0084
A79	fastBE
B79	LTXSIM001
C79	3
D79	0.8863561007371668
E79	972
F79	972
G79	0.9279935148954744
H79	1
I79	33.66
J79	1.3079
A80	Orchard
B80	LTXSIM001
C80	3
D80	0.8863561007371668
E80	972
F80	972
G80	0.9174115558627624
H80	1
I80	122.01
J80	6.3363
A81	Pairtree
B81	LTXSIM001
C81	3
D81	0.8863561007371668
E81	972
F81	972
G81	0.8576892059295471
H81	1
I81	1138.03
J81	116.0535
A82	PhyClone
B82	LTXSIM057
C82	7
D82	0.9705877260941284
E82	794
F82	794
G82	0.9606692291301736
H82	1
I82	1211.98
J82	843.3631
A83	CONIPHER
B83	LTXSIM057
C83	7
D83	0.9696005637716876
E83	785
F83	794
G83	0.9321416485857038
H83	1
I83	184.72
J83	68.7063
A84	fastBE
B84	LTXSIM057
C84	7
D84	0.9686630578054356
E84	794
F84	794
G84	0.9788704949421352
H84	1
I84	31.66
J84	2.795
A85	Orchard
B85	LTXSIM057
C85	7
D85	0.9686630578054356
E85	794
F85	794
G85	0.7130794069650359
H85	1
I85	332.35
J85	6.3691
A86	Pairtree
B86	LTXSIM057
C86	7
D86	0.9686630578054356
E86	794
F86	794
G86	0.6050829002339895
H86	1
I86	1124.18
J86	112.6451
A87	PhyClone
B87	LTXSIM012
C87	3
D87	0.8404510339756475
E87	928
F87	928
G87	0.9581131093178809
H87	1
I87	1047.17
J87	387.434
A88	CONIPHER
B88	LTXSIM012
C88	3
D88	0.8404510339756475
E88	928
F88	928
G88	0.9601843380434414
H88	1
I88	158.68
J88	35.9515
A89	fastBE
B89	LTXSIM012
C89	3
D89	0.8404510339756475
E89	928
F89	928
G89	0.9537326836724944
H89	1
I89	28.2
J89	1.3458
A90	Orchard
B90	LTXSIM012
C90	3
D90	0.8404510339756475
E90	928
F90	928
G90	0.6793912645008803
H90	1
I90	87.55
J90	10.7907
A91	Pairtree
B91	LTXSIM012
C91	3
D91	0.8404510339756475
E91	928
F91	928
G91	0.6528773455556861
H91	1
I91	1109.14
J91	92.8381
A92	PhyClone
B92	LTXSIM125
C92	10
D92	0.897282235238645
E92	1124
F92	1124
G92	0.9791520723640672
H92	1
I92	1371.92
J92	1467.3427
A93	CONIPHER
B93	LTXSIM125
C93	10
D93	0.8914484685853433
E93	1108
F93	1124
G93	0.950070743336632
H93	1
I93	201.78
J93	88.4918
A94	fastBE
B94	LTXSIM125
C94	10
D94	0.8972822352386448
E94	1124
F94	1124
G94	0.9770671127348404
H94	1
I94	30.62
J94	2.5342
A95	Orchard
B95	LTXSIM125
C95	10
D95	0.8972822352386448
E95	1124
F95	1124
G95	0.8605458860188838
H95	1
I95	336.48
J95	14.0555
A96	Pairtree
B96	LTXSIM125
C96	10
D96	0.8972822352386448
E96	1124
F96	1124
G96	0.8605458860188838
H96	1
I96	1102.6
J96	106.3616
A97	PhyClone
B97	LTXSIM045
C97	2
D97	0.7578939033280639
E97	494
F97	494
G97	0.9285437782921608
H97	1
I97	1073.26
J97	479.9207
A98	CONIPHER
B98	LTXSIM045
C98	2
D98	0.7578939033280642
E98	494
F98	494
G98	0.9212952672925848
H98	1
I98	171.88
J98	19.1312
A99	fastBE
B99	LTXSIM045
C99	2
D99	0.7578939033280642
E99	494
F99	494
G99	0.9041735164660338
H99	1
I99	27.7
J99	1.2903
A100	Orchard
B100	LTXSIM045
C100	2
D100	0.7578939033280642
E100	494
F100	494
G100	0.5401963142402273
H100	1
I100	68.65000000000001
J100	10.3951
A101	Pairtree
B101	LTXSIM045
C101	2
D101	0.7578939033280642
E101	494
F101	494
G101	0.9025914762748392
H101	1
I101	1143.61
J101	103.7004
A102	PhyClone
B102	LTXSIM106
C102	10
D102	0.8786852397892888
E102	690
F102	690
G102	0.970471403101368
H102	1
I102	1308.51
J102	651.5747
A103	CONIPHER
B103	LTXSIM106
C103	10
D103	0.872984917011025
E103	669
F103	690
G103	0.917259345546966
H103	1
I103	164.21
J103	62.9152
A104	fastBE
B104	LTXSIM106
C104	10
D104	0.8786852397892888
E104	690
F104	690
G104	0.9686035053578128
H104	1
I104	41.28
J104	3.1326
A105	Orchard
B105	LTXSIM106
C105	10
D105	0.8786852397892888
E105	690
F105	690
G105	0.9241349056847212
H105	1
I105	69.63
J105	4.6159
A106	Pairtree
B106	LTXSIM106
C106	10
D106	0.8786852397892888
E106	690
F106	690
G106	0.875659009496928
H106	1
I106	1145.27
J106	106.9286
A107	PhyClone
B107	LTXSIM123
C107	9
D107	0.8660992002828192
E107	488
F107	488
G107	0.9365364040117922
H107	1
I107	1258.07
J107	1084.639
A108	CONIPHER
