cell	value
A1	program
B1	sim_name
C1	num_samples
D1	v_measure
E1	num_mutations_pred
F1	num_mutations_true
G1	ancestor_descendant_f_score
H1	Success
I1	memory
J1	time
A2	PhyClone
G71	0.5218250700049415
H71	1
I71	
J71	25.8933
A72	Orchard
B72	LTXSIM104
C72	9
D72	0.8795108552377575
E72	289
F72	289
G72	0.6689716312056737
H72	1
I72	
J72	13.0896
A73	Orchard
B73	LTXSIM104
C73	9
D73	0.880035371199378
E73	289
F73	289
G73	0.7679394338380513
H73	1
I73	
J73	28.7525
A74	Pairtree
B74	LTXSIM104
C74	9
D74	0.8667356013902369
E74	289
F74	289
G74	0.685164113785558
H74	1
I74	548.26
J74	157.4898
A75	Pairtree
B75	LTXSIM104
C75	9
D75	0.8795108552377575
E75	289
F75	289
G75	0.6458666827750763
H75	1
I75	535.62
J75	154.4084
A76	Pairtree
B76	LTXSIM104
C76	9
D76	0.880035371199378
E76	289
F76	289
G76	0.5668679078294402
H76	1
I76	534.97
J76	152.1579
A77	PhyClone
B77	LTXSIM023
C77	2
D77	0.8970118617253615
E77	276
F77	276
G77	0.9789639758085722
H77	1
I77	1075
J77	582.9776000000001
A78	PhyClone
B78	LTXSIM023
C78	2
D78	0.7043376373514726
E78	276
F78	276
G78	0.7887344603762514
H78	1
I78	1022.62
J78	706.3839
A79	PhyClone
B79	LTXSIM023
C79	2
D79	0.5977912154355487
E79	276
F79	276
G79	0.6064255761894253
H79	1
I79	1087.32
J79	917.1318
A80	CONIPHER
B80	LTXSIM023
C80	2
D80	0.9072334557188984
E80	272
F80	276
G80	0.9336353340883352
H80	1
I80	1.67
J80	24.0814
A81	CONIPHER
B81	LTXSIM023
C81	2
D81	0.7612765194789141
E81	266
F81	276
G81	0.8432568572665381
H81	1
I81	1.67
J81	30.0178
A82	CONIPHER
B82	LTXSIM023
C82	2
D82	0.6854692594620979
E82	247
F82	276
G82	0.693223756800974
H82	1
I82	1.67
J82	29.3727
A83	fastBE
B83	LTXSIM023
C83	2
D83	0.8970118617253614
E83	276
F83	276
G83	0.9839321974044321
H83	1
I83	
J83	12.6525
A84	fastBE
B84	LTXSIM023
C84	2
D84	0.7043376373514726
E84	276
F84	276
G84	0.726002406552032
H84	1
I84	1.5
J84	20.5769
A85	fastBE
B85	LTXSIM023
C85	2
D85	0.586795004558762
E85	276
F85	276
G85	0.6439147263009154
H85	1
I85	14.43
J85	25.5586
A86	Orchard
B86	LTXSIM023
C86	2
D86	0.8970118617253614
E86	276
F86	276
G86	0.9787866859117352
H86	1
I86	
J86	19.7471
A87	Orchard
B87	LTXSIM023
C87	2
D87	0.7043376373514726
E87	276
F87	276
G87	0.795309246337632
H87	1
I87	
J87	20.7763
A88	Orchard
B88	LTXSIM023
C88	2
D88	0.586795004558762
E88	276
F88	276
